"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"308320_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308320_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308322_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308322_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308330_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308330_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308396_A","","Unknown",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308396_B","YES","YES",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,"NEW SORTING: VARROA DETECTED",NA,NA,NA,NA,NA
"308409_A","","Unknown",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308409_B","","Unknown",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308411_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"308411_B","","Unknown",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"310639_A","","Unknown",4,11,1991,"BOR","STAMARIA","","TEXAS","USA",26.078688,-97.849442,"STATION 1 = 2 INCHES OF RAIN STATION 2 = TRAP B = MULTIPLE EGGS ON BOTH WORKER AND DRONE CELLS. 25 BEES ETOH STATION 4 = TRAP A = LID DAMAGED. LID REPLACED . ONE RAT PRESENT. STATION 5 = TRAPS E AND C = 25 BEES ETOH. *********BEHAVIO",NA,NA,NA,31.0639,31
"310639_B","","Unknown",4,11,1991,"BOR","STAMARIA","","TEXAS","USA",26.078688,-97.849442,"STATION 1 = 2 INCHES OF RAIN STATION 2 = TRAP B = MULTIPLE EGGS ON BOTH WORKER AND DRONE CELLS. 25 BEES ETOH STATION 4 = TRAP A = LID DAMAGED. LID REPLACED . ONE RAT PRESENT. STATION 5 = TRAPS E AND C = 25 BEES ETOH. *********BEHAVIO",NA,NA,NA,31.0639,31
"330771_A","","Unknown",13,5,1992,"WEL","WELDER","","TEXAS","USA",NA,NA,"STATION 1 TRAP A = 2 BLACK SCARABS. APPROX.20 RESIDUAL BEES. STATION 2 TRAP H = 25 ETOH TRAP B = ONLY ONE SMALL COMB. CELL SIZES SUSPECT. 2 BAGS 25 ETOH. STATION 3 TRAP A = 25 ETOH STAT",NA,NA,NA,33.0771,33
