SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
1954,,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.150KG, MUCHO MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1955,,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,2.350KG,DESPEJADO,TRAPLINE
1956,,22,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.750KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1986,,19,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.600KG, POCO MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
1987,,19,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.850KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1988,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.500KG, NO HAY MIEL, HAY POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
1989,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.400KG, POCA MIEL, POCO POLEN",DESPEJADO,TRAPLINE
1990,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.650KG, POCA MIEL Y POCO POLEN, NO ZANG",DESPEJADO,TRAPLINE
7200,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.900KG, POCA MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
7201,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.450KG, MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
7202,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.400KG, POCO MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
7203,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.070KG, POCO MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
7204,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.400KG, NO PANALES",DESPEJADO,TRAPLINE
7205,,21,11,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.500KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
7301_A,,22,10,1992,VICT- SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,PESO:1.55 KG. NO HAY ZANGANOS. MUCHO MIEL Y POLEN.,MEDIO NUBLADO,MEXICAN TRANSECT
7301_B,,22,10,1992,VICT- SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,PESO:1.55 KG. NO HAY ZANGANOS. MUCHO MIEL Y POLEN.,MEDIO NUBLADO,MEXICAN TRANSECT
7274,,29,8,1992,VICTORIA A ALTAS C,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"PESO:2,210 KG TARA 250 GMS NO HAY ZANGANOS MUCHA MIEL Y POLEN",MEDIO NUBLADO,MEXICAN BAITHIVE TRANSECT
7268,,30,7,1992,VICTORIA-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,PESO:1.2 KG. NO HAY ZANGANOS. MIEL Y POLEN.,NUBLADO,MEXICAN TRANSECT
7275,,29,8,1992,VICTORIA-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,PESO:1.3 KG TARA 250 GMS NO HAY ZANGANOS,despejado,BAIT-HIVE TRANSECT
7276,,29,8,1992,VICTORIA-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,jhzm,NA,peso: 0.8 KG TIENE MIEL Y POLEN,DESPEJADO,MEXICAN TRANSECT
7277,,29,8,1992,VICTORIA-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,PESO:.800KG. NO HAY ZANGANOS. POCO MIEL Y POLLEN.,DESPEJADO,MEXICAN TRANSECT
